"t","TrueRt","Cases","simulation"
61,0.666666666666667,72,"Step change"
62,0.666666666666667,66,"Step change"
63,0.666666666666667,61,"Step change"
64,0.666666666666667,58,"Step change"
65,0.666666666666667,63,"Step change"
66,0.666666666666667,55,"Step change"
67,0.666666666666667,59,"Step change"
68,0.666666666666667,41,"Step change"
69,0.666666666666667,48,"Step change"
70,0.666666666666667,58,"Step change"
71,0.666666666666667,45,"Step change"
72,0.666666666666667,35,"Step change"
73,0.666666666666667,45,"Step change"
74,0.666666666666667,34,"Step change"
75,0.666666666666667,35,"Step change"
76,0.666666666666667,32,"Step change"
77,0.666666666666667,35,"Step change"
78,0.666666666666667,21,"Step change"
79,0.666666666666667,24,"Step change"
80,0.666666666666667,34,"Step change"
81,0.666666666666667,27,"Step change"
82,0.666666666666667,18,"Step change"
83,0.666666666666667,17,"Step change"
84,1.5,40,"Step change"
85,1.5,41,"Step change"
86,1.5,39,"Step change"
87,1.5,57,"Step change"
88,1.5,47,"Step change"
89,1.5,46,"Step change"
90,1.5,45,"Step change"
91,1.5,63,"Step change"
92,1.5,67,"Step change"
93,1.5,64,"Step change"
94,1.5,73,"Step change"
95,1.5,62,"Step change"
96,1.5,76,"Step change"
97,1.5,86,"Step change"
98,1.5,86,"Step change"
99,1.5,100,"Step change"
100,1.5,95,"Step change"
