"Mean","Lower","Upper","CRPS","t","variable","simulation","TrueValue"
1.19200864169758,0.425117438881721,1.95889984451343,NA,94,"R","Sinusoidal",1.21694186955878
1.05869047359685,0.325673862452898,1.7917070847408,NA,95,"R","Sinusoidal",1.07452113308809
0.9200921691138,0.237563425746165,1.60262091248143,NA,96,"R","Sinusoidal",0.925478866911912
0.784251944702698,0.169787517040627,1.39871637236477,NA,97,"R","Sinusoidal",0.783058130441221
0.657115824596138,0.115559638427655,1.19867201076462,NA,98,"R","Sinusoidal",0.65991363111454
0.542508264771663,0.00797692961664187,1.07703959992668,NA,99,"R","Sinusoidal",0.56698729810778
0.442362848348776,0,1.19686942089333,NA,100,"R","Sinusoidal",0.512536043909088
0,0,0,NA,1,"I","Sinusoidal",83
110.97861886703,61.7571187877151,160.200118946344,6.26818030942863,2,"I","Sinusoidal",116
128.183738668087,46.3183506997432,210.04912663643,9.69237711864745,3,"I","Sinusoidal",130
146.566792416619,45.1172309432717,248.016353889967,13.7145621748137,4,"I","Sinusoidal",131
160.484132943393,49.3257827262219,271.642483160564,13.4142243572013,5,"I","Sinusoidal",167
171.441727495381,57.6461345411349,285.237320449627,13.8774388956151,6,"I","Sinusoidal",180
180.81458679696,69.0754272459246,292.553746347995,13.2292547579222,7,"I","Sinusoidal",178
185.474103862763,78.5711712690009,292.377036456525,18.1082414341232,8,"I","Sinusoidal",158
182.378877679049,81.6629407141734,283.094814643924,12.1540682472623,9,"I","Sinusoidal",188
172.257531400864,78.124254151699,266.390808650029,15.4328134852673,10,"I","Sinusoidal",195
157.944016135824,70.2503838485106,245.637648423137,10.3491552255595,11,"I","Sinusoidal",158
141.432086429433,59.805763089208,223.058409769658,9.9543777137586,12,"I","Sinusoidal",147
124.144505760003,48.1548554480087,200.134156071998,8.96791096573829,13,"I","Sinusoidal",125
108.213480714346,37.4073303850378,179.019631043654,8.74347563588333,14,"I","Sinusoidal",114
94.9700700580202,28.8079172636929,161.132222852347,8.06851310116019,15,"I","Sinusoidal",90
85.115896713356,22.8627433650635,147.369050061649,7.37040468567697,16,"I","Sinusoidal",86
79.022687028418,19.6543144156031,138.391059641233,10.7699641255461,17,"I","Sinusoidal",62
77.1444266523045,19.3294268012304,134.959426503379,7.24318392342216,18,"I","Sinusoidal",72
78.3073662153701,20.5061184906453,136.108613940095,11.2747196691343,19,"I","Sinusoidal",60
82.0766377494808,22.7434577478722,141.409817751089,10.7635798649794,20,"I","Sinusoidal",99
88.5658110762239,26.3756756996333,150.755946452814,7.50490113533046,21,"I","Sinusoidal",92
98.4737859938143,32.4860496916642,164.461522295964,8.26708141413019,22,"I","Sinusoidal",105
111.276971835283,41.003345241349,181.550598429217,10.2332136216203,23,"I","Sinusoidal",124
126.70313354331,52.1007095491504,201.30555753747,9.50034932625625,24,"I","Sinusoidal",119
143.07632091091,64.4997208313899,221.652920990431,9.34277261849227,25,"I","Sinusoidal",146
157.621964075002,75.7572462260849,239.486681923919,10.6163644087894,26,"I","Sinusoidal",148
169.409894041813,85.1998605866441,253.619927496981,10.7238437006076,27,"I","Sinusoidal",179
177.267585886985,91.8314142666503,262.703757507321,10.8799879686846,28,"I","Sinusoidal",168
179.992151232239,94.5406054194399,265.443697045037,12.1205996293097,29,"I","Sinusoidal",165
175.211015364159,90.9591458720471,259.462884856271,10.0175632255797,30,"I","Sinusoidal",173
163.185860459218,81.2662969930831,245.105423925354,22.1427242665695,31,"I","Sinusoidal",201
148.215490464378,69.5963138055084,226.834667123247,10.0118682746875,32,"I","Sinusoidal",140
132.195380930111,57.6068402422603,206.783921617961,8.8025591538669,33,"I","Sinusoidal",133
115.653510957465,45.5276372731663,185.779384641765,8.30248815025088,34,"I","Sinusoidal",114
100.750363420598,35.177307777086,166.323419064109,8.09726855256171,35,"I","Sinusoidal",95
88.6014019657035,27.306879429667,149.89592450174,8.92568056250887,36,"I","Sinusoidal",100
80.0627904519514,22.4130031186665,137.712577785236,8.88490756334734,37,"I","Sinusoidal",68
75.535021388728,20.5780649586877,130.491977818768,11.5694666069048,38,"I","Sinusoidal",56
73.418889703432,19.9705954219872,126.867183984877,6.30769509293187,39,"I","Sinusoidal",74
73.3588762018422,20.129976673119,126.587775730565,6.77850815966322,40,"I","Sinusoidal",79
75.6412221773894,21.3831877838539,129.899256570925,7.03627985733076,41,"I","Sinusoidal",82
80.2840061142715,23.9191266857017,136.648885542841,6.67326792465755,42,"I","Sinusoidal",79
87.061555454752,27.7728007643336,146.35031014517,9.41864586309673,43,"I","Sinusoidal",101
96.0131696060266,33.2911860440329,158.73515316802,7.50534869913225,44,"I","Sinusoidal",93
107.108354313682,40.7664798636004,173.450228763763,10.5391085476842,45,"I","Sinusoidal",92
118.828843620435,48.9969741240319,188.660713116838,13.6214144769531,46,"I","Sinusoidal",141
131.081405486034,58.18388393342,203.978927038648,9.85472561146355,47,"I","Sinusoidal",120
143.587066100604,68.305631697679,218.86850050353,9.08471607431952,48,"I","Sinusoidal",148
153.391968338655,76.613873010487,230.170063666823,13.4519011687316,49,"I","Sinusoidal",132
158.155266810891,80.9078337103493,235.402699911433,11.248736161112,50,"I","Sinusoidal",173
155.900391240528,79.2751229019433,232.525659579113,9.04292336344348,51,"I","Sinusoidal",156
148.843511443151,73.914390927697,223.772631958604,8.90908660811274,52,"I","Sinusoidal",151
137.432879946993,65.1742816668717,209.691478227115,8.71993014625275,53,"I","Sinusoidal",133
123.30082089229,54.5103188535615,192.091322931018,8.23151111728987,54,"I","Sinusoidal",120
108.235972764925,43.466414455475,173.005531074375,12.1780129923021,55,"I","Sinusoidal",128
94.3905000956499,33.8943747616685,154.886625429631,7.30047357113474,56,"I","Sinusoidal",98
82.8946020444161,26.5828707234297,139.206333365402,7.17109565712687,57,"I","Sinusoidal",77
73.6924053094924,21.1112533222267,126.273557296758,7.87185004905703,58,"I","Sinusoidal",63
66.991850739454,17.326066860427,116.657634618481,6.57044437502758,59,"I","Sinusoidal",60
63.2136874515554,15.3329975075168,111.094377395594,5.69302309480137,60,"I","Sinusoidal",65
