eta,p,movingaverage,model
0.449,1.7496111055231395e-6,Raw,EpiFilter
0.44999999999999996,1.5794368332088355e-6,Raw,EpiFilter
0.451,1.4254790561092384e-6,Raw,EpiFilter
0.45199999999999996,1.2862308416032243e-6,Raw,EpiFilter
0.453,1.1603209442964923e-6,Raw,EpiFilter
0.454,1.0465020750348627e-6,Raw,EpiFilter
0.455,9.436401301724062e-7,Raw,EpiFilter
0.456,8.507043084701497e-7,Raw,EpiFilter
0.45699999999999996,7.667580477586798e-7,Raw,EpiFilter
0.458,6.909507181716993e-7,Raw,EpiFilter
0.459,6.225100130560389e-7,Raw,EpiFilter
0.46,5.607349828016591e-7,Raw,EpiFilter
0.461,5.04989660687492e-7,Raw,EpiFilter
0.46199999999999997,4.546972335105418e-7,Raw,EpiFilter
0.463,4.093347131756567e-7,Raw,EpiFilter
0.46399999999999997,3.68428068651632e-7,Raw,EpiFilter
0.465,3.3154778071597e-7,Raw,EpiFilter
0.466,2.983047847282993e-7,Raw,EpiFilter
0.46699999999999997,2.683467693153837e-7,Raw,EpiFilter
0.468,2.413548013115016e-7,Raw,EpiFilter
0.469,2.1704024959297793e-7,Raw,EpiFilter
0.47000000000000003,1.9514198258425575e-7,Raw,EpiFilter
0.471,1.754238162023033e-7,Raw,EpiFilter
0.472,1.5767219085078632e-7,Raw,EpiFilter
0.47300000000000003,1.416940577914147e-7,Raw,EpiFilter
0.474,1.2731495681091684e-7,Raw,EpiFilter
0.47500000000000003,1.1437726857138771e-7,Raw,EpiFilter
0.476,1.0273862639910568e-7,Raw,EpiFilter
0.477,9.227047352028582e-8,Raw,EpiFilter
0.478,8.285675292371277e-8,Raw,EpiFilter
0.479,7.439271809731439e-8,Raw,EpiFilter
0.48000000000000004,6.678385388148069e-8,Raw,EpiFilter
0.481,5.9944897591791e-8,Raw,EpiFilter
0.482,5.3798951405835215e-8,Raw,EpiFilter
0.483,4.827667778081952e-8,Raw,EpiFilter
0.484,4.3315570381229046e-8,Raw,EpiFilter
0.48500000000000004,3.8859293646928774e-8,Raw,EpiFilter
0.486,3.485708473393775e-8,Raw,EpiFilter
0.48700000000000004,3.126321210848955e-8,Raw,EpiFilter
0.488,2.8036485580793756e-8,Raw,EpiFilter
0.489,2.5139813025968183e-8,Raw,EpiFilter
0.49,2.253979946422451e-8,Raw,EpiFilter
0.491,2.0206384558293583e-8,Raw,EpiFilter
0.49200000000000005,1.8112514942015353e-8,Raw,EpiFilter
0.493,1.6233848116304555e-8,Raw,EpiFilter
0.494,1.454848494612509e-8,Raw,EpiFilter
0.495,1.3036728061107581e-8,Raw,EpiFilter
0.496,1.1680863709814834e-8,Raw,EpiFilter
0.497,1.0464964842432293e-8,Raw,EpiFilter
0.498,9.374713401453799e-9,Raw,EpiFilter
0.499,8.397239987284334e-9,Raw,EpiFilter
0.5,7.520979235669322e-9,Raw,EpiFilter
0.501,6.735539398708051e-9,Raw,EpiFilter
0.502,6.03158476260215e-9,Raw,EpiFilter
0.503,5.400729663220764e-9,Raw,EpiFilter
0.504,4.835442977357584e-9,Raw,EpiFilter
0.505,4.328962073542876e-9,Raw,EpiFilter
0.506,3.875215302480687e-9,Raw,EpiFilter
0.507,3.4687521947061656e-9,Raw,EpiFilter
0.508,3.1046806123121564e-9,Raw,EpiFilter
0.509,2.778610173715045e-9,Raw,EpiFilter
0.5099999999999999,2.486601335624992e-9,Raw,EpiFilter
0.511,2.2251195756821495e-9,Raw,EpiFilter
0.512,1.990994172832554e-9,Raw,EpiFilter
0.513,1.7813811311706812e-9,Raw,EpiFilter
0.514,1.5937298369875905e-9,Raw,EpiFilter
0.5149999999999999,1.4257530786377469e-9,Raw,EpiFilter
0.516,1.2754000949345957e-9,Raw,EpiFilter
0.517,1.140832350397615e-9,Raw,EpiFilter
0.518,1.0204017652577534e-9,Raw,EpiFilter
