eta,p,simulation,model
0.303,1.4889709136880808e-12,Random walk,EpiFilter
0.304,1.2783361191650584e-12,Random walk,EpiFilter
0.30500000000000005,1.0975950701555772e-12,Random walk,EpiFilter
0.306,9.42494269442501e-13,Random walk,EpiFilter
0.307,8.093865736630986e-13,Random walk,EpiFilter
0.308,6.951446557221495e-13,Random walk,EpiFilter
0.309,5.97086822368266e-13,Random walk,EpiFilter
0.31,5.129134237323696e-13,Random walk,EpiFilter
0.311,4.406523429291896e-13,Random walk,EpiFilter
0.312,3.78612269371672e-13,Random walk,EpiFilter
0.313,3.25342644343321e-13,Random walk,EpiFilter
0.314,2.795993259458339e-13,Random walk,EpiFilter
0.315,2.403151565241896e-13,Random walk,EpiFilter
0.316,2.0657473228829178e-13,Random walk,EpiFilter
0.317,1.775927748378493e-13,Random walk,EpiFilter
0.318,1.5269559002949733e-13,Random walk,EpiFilter
0.319,1.3130517312562695e-13,Random walk,EpiFilter
0.32,1.129255821781043e-13,Random walk,EpiFilter
0.321,9.713125561556179e-14,Random walk,EpiFilter
0.32199999999999995,8.355699630827017e-14,Random walk,EpiFilter
0.323,7.188938407472264e-14,Random walk,EpiFilter
0.324,6.185941261457195e-14,Random walk,EpiFilter
0.325,5.3236176011395894e-14,Random walk,EpiFilter
0.326,4.5821454940732524e-14,Random walk,EpiFilter
0.32699999999999996,3.944507413838828e-14,Random walk,EpiFilter
0.328,3.39609210418016e-14,Random walk,EpiFilter
0.32899999999999996,2.924353124924854e-14,Random walk,EpiFilter
0.33,2.5185159926216077e-14,Random walk,EpiFilter
0.331,2.1693269842625526e-14,Random walk,EpiFilter
0.332,1.8688376628484047e-14,Random walk,EpiFilter
0.333,1.6102200321812743e-14,Random walk,EpiFilter
0.33399999999999996,1.3876079556673887e-14,Random walk,EpiFilter
0.335,1.1959610972117865e-14,Random walk,EpiFilter
0.33599999999999997,1.0309481765380081e-14,Random walk,EpiFilter
0.337,8.888467890899082e-15,Random walk,EpiFilter
0.338,7.664574330762233e-15,Random walk,EpiFilter
0.33899999999999997,6.61029722534554e-15,Random walk,EpiFilter
0.34,5.7019905353451504e-15,Random walk,EpiFilter
0.34099999999999997,4.919322377099299e-15,Random walk,EpiFilter
0.342,4.244808290747295e-15,Random walk,EpiFilter
0.343,3.6634105160525984e-15,Random walk,EpiFilter
0.344,3.1621939067197632e-15,Random walk,EpiFilter
0.34500000000000003,2.730030447970339e-15,Random walk,EpiFilter
0.346,2.3573454856561133e-15,Random walk,EpiFilter
0.34700000000000003,2.0358997555752187e-15,Random walk,EpiFilter
0.348,1.7586021422197927e-15,Random walk,EpiFilter
