eta,p,movingaverage,model
0.231,7.250686337346982e-5,Raw,EpiFilter
0.232,8.665347908051654e-5,Raw,EpiFilter
0.233,0.0001031678185091978,Raw,EpiFilter
0.23399999999999999,0.00012236973992154178,Raw,EpiFilter
0.235,0.00014460899284785168,Raw,EpiFilter
0.236,0.0001702659137296814,Raw,EpiFilter
0.23700000000000002,0.0001997517963264189,Raw,EpiFilter
0.23800000000000002,0.00023350888725739332,Raw,EpiFilter
0.239,0.00027200995817348975,Raw,EpiFilter
0.24,0.0003157574083829145,Raw,EpiFilter
0.241,0.00036528185535050447,Raw,EpiFilter
0.242,0.0004211401754046284,Raw,EpiFilter
0.24300000000000002,0.0004839129632060035,Raw,EpiFilter
0.24400000000000002,0.0005542013860553751,Raw,EpiFilter
0.245,0.000632623417858712,Raw,EpiFilter
0.246,0.0007198094474270368,Raw,EpiFilter
0.247,0.0008163972666513533,Raw,EpiFilter
0.248,0.0009230264557252417,Raw,EpiFilter
0.249,0.0010403321948609264,Raw,EpiFilter
0.25,0.0011689385445184538,Raw,EpiFilter
0.251,0.0013094512489037113,Raw,EpiFilter
0.252,0.00146245012996534,Raw,EpiFilter
0.253,0.0016284811511567973,Raw,EpiFilter
0.254,0.0018080482414921794,Raw,EpiFilter
0.255,0.0020016049805365774,Raw,EpiFilter
0.256,0.002209546253878469,Raw,EpiFilter
0.257,0.002432199995718524,Raw,EpiFilter
0.25799999999999995,0.002669819140663736,Raw,EpiFilter
0.259,0.0029225739100292997,Raw,EpiFilter
0.26,0.003190544559150178,Raw,EpiFilter
0.261,0.0034737147108987567,Raw,EpiFilter
0.262,0.0037719653971106815,Raw,EpiFilter
0.26299999999999996,0.004085069923663967,Raw,EpiFilter
0.264,0.004412689666638658,Raw,EpiFilter
0.26499999999999996,0.004754370896615673,Raw,EpiFilter
0.266,0.005109542715496912,Raw,EpiFilter
0.267,0.00547751617598125,Raw,EpiFilter
0.268,0.005857484637748872,Raw,EpiFilter
0.269,0.006248525397097196,Raw,EpiFilter
0.26999999999999996,0.006649602608621553,Raw,EpiFilter
0.271,0.007059571498306889,Raw,EpiFilter
0.272,0.007477183848637185,Raw,EpiFilter
0.273,0.00790109471658999,Raw,EpiFilter
0.274,0.008329870327389634,Raw,EpiFilter
0.27499999999999997,0.008761997068333163,Raw,EpiFilter
0.276,0.009195891490826615,Raw,EpiFilter
0.27699999999999997,0.009629911213191436,Raw,EpiFilter
0.278,0.010062366603283105,Raw,EpiFilter
0.279,0.010491533108549465,Raw,EpiFilter
0.27999999999999997,0.01091566409157354,Raw,EpiFilter
0.281,0.011333004022188625,Raw,EpiFilter
0.282,0.01174180187256496,Raw,EpiFilter
0.28300000000000003,0.01214032455936543,Raw,EpiFilter
0.284,0.012526870277548828,Raw,EpiFilter
0.285,0.012899781572923326,Raw,EpiFilter
0.28600000000000003,0.013257458005508932,Raw,EpiFilter
0.287,0.013598368263200673,Raw,EpiFilter
0.28800000000000003,0.013921061594117688,Raw,EpiFilter
0.289,0.014224178437250374,Raw,EpiFilter
0.29,0.014506460143468845,Raw,EpiFilter
0.291,0.0147667576927062,Raw,EpiFilter
0.292,0.01500403932831747,Raw,EpiFilter
0.29300000000000004,0.015217397044719425,Raw,EpiFilter
0.294,0.015406051881213603,Raw,EpiFilter
0.295,0.015569357990427475,Raw,EpiFilter
0.296,0.01570680546637733,Raw,EpiFilter
0.297,0.015818021933242356,Raw,EpiFilter
0.29800000000000004,0.01590277291035917,Raw,EpiFilter
0.299,0.015960960984202396,Raw,EpiFilter
0.30000000000000004,0.015992623831259743,Raw,EpiFilter
0.301,0.015997931147611232,Raw,EpiFilter
0.302,0.01597718055263126,Raw,EpiFilter
0.303,0.01593079254330352,Raw,EpiFilter
0.304,0.015859304583879366,Raw,EpiFilter
0.30500000000000005,0.01576336442210856,Raw,EpiFilter
0.306,0.01564372272850617,Raw,EpiFilter
0.307,0.015501225157994155,Raw,EpiFilter
0.308,0.015336803936059747,Raw,EpiFilter
0.309,0.015151469071244523,Raw,EpiFilter
0.31,0.014946299295644975,Raw,EpiFilter
0.311,0.014722432832384768,Raw,EpiFilter
0.312,0.014481058086387234,Raw,EpiFilter
0.313,0.01422340434975914,Raw,EpiFilter
0.314,0.013950732608624042,Raw,EpiFilter
0.315,0.013664326531519983,Raw,EpiFilter
0.316,0.01336548371360926,Raw,EpiFilter
0.317,0.013055507243074506,Raw,EpiFilter
0.318,0.012735697649295451,Raw,EpiFilter
0.319,0.012407345284065818,Raw,EpiFilter
0.32,0.012071723179814925,Raw,EpiFilter
0.321,0.011730080420586052,Raw,EpiFilter
0.32199999999999995,0.011383636054045045,Raw,EpiFilter
0.323,0.011033573565234085,Raw,EpiFilter
0.324,0.010681035925526848,Raw,EpiFilter
0.325,0.010327121223608746,Raw,EpiFilter
0.326,0.009972878878518263,Raw,EpiFilter
0.32699999999999996,0.009619306429360677,Raw,EpiFilter
0.328,0.009267346890545385,Raw,EpiFilter
0.32899999999999996,0.008917886656577625,Raw,EpiFilter
0.33,0.008571753936371473,Raw,EpiFilter
0.331,0.008229717693031673,Raw,EpiFilter
0.332,0.00789248706217186,Raw,EpiFilter
0.333,0.007560711218998946,Raw,EpiFilter
0.33399999999999996,0.007234979662634644,Raw,EpiFilter
0.335,0.006915822884293672,Raw,EpiFilter
0.33599999999999997,0.006603713385282286,Raw,EpiFilter
0.337,0.0062990670098846445,Raw,EpiFilter
0.338,0.006002244558243673,Raw,EpiFilter
0.33899999999999997,0.00571355364466244,Raw,EpiFilter
0.34,0.0054332507671696765,Raw,EpiFilter
0.34099999999999997,0.005161543555216343,Raw,EpiFilter
0.342,0.004898593163614432,Raw,EpiFilter
0.343,0.004644516782109462,Raw,EpiFilter
0.344,0.004399390231668979,Raw,EpiFilter
0.34500000000000003,0.00416325062036293,Raw,EpiFilter
0.346,0.003936099033447694,Raw,EpiFilter
0.34700000000000003,0.003717903234373915,Raw,EpiFilter
0.348,0.0035086003554093653,Raw,EpiFilter
0.349,0.0033080995585148248,Raw,EpiFilter
0.35000000000000003,0.003116284649278108,Raw,EpiFilter
0.351,0.00293301662865441,Raw,EpiFilter
0.35200000000000004,0.002758136169190769,Raw,EpiFilter
0.353,0.0025914660044124615,Raw,EpiFilter
0.354,0.002432813221777537,Raw,EpiFilter
0.355,0.0022819714513996393,Raw,EpiFilter
0.356,0.0021387229443627924,Raw,EpiFilter
0.35700000000000004,0.002002840535942416,Raw,EpiFilter
0.358,0.0018740894905635796,Raw,EpiFilter
0.359,0.0017522292264904777,Raw,EpiFilter
0.36,0.0016370149195565778,Raw,EpiFilter
0.361,0.0015281989862307287,Raw,EpiFilter
0.362,0.0014255324472986065,Raw,EpiFilter
0.363,0.0013287661742859857,Raw,EpiFilter
0.36400000000000005,0.001237652021454661,Raw,EpiFilter
