k,p,simulation,model,TrueParam,iter
12,4.600476979496461e-87,Sinusoidal,EpiEstim,25,2
13,1.5742961975136457e-91,Sinusoidal,EpiEstim,25,2
14,4.728988030607323e-93,Sinusoidal,EpiEstim,25,2
15,1.93648334218426e-93,Sinusoidal,EpiEstim,25,2
16,8.116305044728992e-92,Sinusoidal,EpiEstim,25,2
17,1.7087976232717602e-88,Sinusoidal,EpiEstim,25,2
18,1.7630569414513822e-83,Sinusoidal,EpiEstim,25,2
19,1.035413474754148e-77,Sinusoidal,EpiEstim,25,2
20,4.722314884403828e-72,Sinusoidal,EpiEstim,25,2
21,2.1632953381295242e-66,Sinusoidal,EpiEstim,25,2
22,4.907762906000518e-61,Sinusoidal,EpiEstim,25,2
23,5.202592902300089e-56,Sinusoidal,EpiEstim,25,2
24,1.2618867542662663e-52,Sinusoidal,EpiEstim,25,2
25,1.569388988167045e-50,Sinusoidal,EpiEstim,25,2
26,1.4001987284475245e-49,Sinusoidal,EpiEstim,25,2
27,1.1592972959086299e-49,Sinusoidal,EpiEstim,25,2
28,1.0646007641617145e-50,Sinusoidal,EpiEstim,25,2
29,5.744953449398219e-53,Sinusoidal,EpiEstim,25,2
30,8.6206576389038e-56,Sinusoidal,EpiEstim,25,2
1,8.068454530314606e-74,Sinusoidal,EpiEstim,50,2
2,0.9999999995469615,Sinusoidal,EpiEstim,50,2
3,4.53038463229715e-10,Sinusoidal,EpiEstim,50,2
4,2.7716887719391097e-28,Sinusoidal,EpiEstim,50,2
5,8.865162830177404e-51,Sinusoidal,EpiEstim,50,2
6,8.289529673906741e-78,Sinusoidal,EpiEstim,50,2
7,3.539724574934494e-104,Sinusoidal,EpiEstim,50,2
8,7.682533945025077e-131,Sinusoidal,EpiEstim,50,2
9,1.2405734362255652e-155,Sinusoidal,EpiEstim,50,2
10,2.442669283965287e-177,Sinusoidal,EpiEstim,50,2
11,4.9538030021477573e-194,Sinusoidal,EpiEstim,50,2
12,4.0349645389625305e-207,Sinusoidal,EpiEstim,50,2
13,2.7736369376768354e-215,Sinusoidal,EpiEstim,50,2
14,5.692897532541886e-218,Sinusoidal,EpiEstim,50,2
15,1.6535797180088284e-216,Sinusoidal,EpiEstim,50,2
16,5.151570949394208e-211,Sinusoidal,EpiEstim,50,2
17,9.828196467702962e-202,Sinusoidal,EpiEstim,50,2
18,4.4073183604794184e-190,Sinusoidal,EpiEstim,50,2
19,5.6133743559311245e-177,Sinusoidal,EpiEstim,50,2
20,3.779288026637738e-163,Sinusoidal,EpiEstim,50,2
21,5.226555549891795e-150,Sinusoidal,EpiEstim,50,2
22,6.811778492149711e-139,Sinusoidal,EpiEstim,50,2
23,9.896093770505328e-130,Sinusoidal,EpiEstim,50,2
24,4.303351547549041e-123,Sinusoidal,EpiEstim,50,2
25,3.036427445784717e-119,Sinusoidal,EpiEstim,50,2
26,1.931346061040047e-118,Sinusoidal,EpiEstim,50,2
27,2.243064459184779e-119,Sinusoidal,EpiEstim,50,2
28,5.696535210261669e-123,Sinusoidal,EpiEstim,50,2
29,6.347828214892199e-128,Sinusoidal,EpiEstim,50,2
30,1.3275432184499218e-133,Sinusoidal,EpiEstim,50,2
1,1.306414029972321e-81,Sinusoidal,EpiEstim,100,2
2,0.999999999999968,Sinusoidal,EpiEstim,100,2
3,3.2077272868923275e-14,Sinusoidal,EpiEstim,100,2
4,4.085013089712344e-39,Sinusoidal,EpiEstim,100,2
5,1.40332817414221e-70,Sinusoidal,EpiEstim,100,2
6,3.1125716591774974e-108,Sinusoidal,EpiEstim,100,2
7,4.744103551062006e-149,Sinusoidal,EpiEstim,100,2
8,4.536994670970666e-189,Sinusoidal,EpiEstim,100,2
9,6.831530485301913e-227,Sinusoidal,EpiEstim,100,2
10,7.774491306328757e-259,Sinusoidal,EpiEstim,100,2
11,7.86569341186476e-287,Sinusoidal,EpiEstim,100,2
12,2.429225425038992e-308,Sinusoidal,EpiEstim,100,2
13,5.0e-323,Sinusoidal,EpiEstim,100,2
14,0.0,Sinusoidal,EpiEstim,100,2
15,0.0,Sinusoidal,EpiEstim,100,2
16,3.0e-323,Sinusoidal,EpiEstim,100,2
17,1.2216873144331e-310,Sinusoidal,EpiEstim,100,2
18,8.019776958404609e-294,Sinusoidal,EpiEstim,100,2
19,7.843366189021256e-274,Sinusoidal,EpiEstim,100,2
20,7.339950701915299e-253,Sinusoidal,EpiEstim,100,2
21,1.5188492050683672e-232,Sinusoidal,EpiEstim,100,2
22,3.4270585337607247e-214,Sinusoidal,EpiEstim,100,2
23,6.880016782562386e-199,Sinusoidal,EpiEstim,100,2
24,9.774366637634777e-188,Sinusoidal,EpiEstim,100,2
25,1.079067266958991e-180,Sinusoidal,EpiEstim,100,2
26,1.551326475756415e-178,Sinusoidal,EpiEstim,100,2
27,7.717463019036042e-180,Sinusoidal,EpiEstim,100,2
28,1.0459974369116493e-184,Sinusoidal,EpiEstim,100,2
29,1.1636666904425854e-191,Sinusoidal,EpiEstim,100,2
30,1.2066870310116663e-200,Sinusoidal,EpiEstim,100,2
1,4.812718349016598e-84,Sinusoidal,EpiEstim,200,2
2,1.0,Sinusoidal,EpiEstim,200,2
3,4.062461652549143e-40,Sinusoidal,EpiEstim,200,2
4,6.335337964941095e-100,Sinusoidal,EpiEstim,200,2
5,1.6374461239283382e-174,Sinusoidal,EpiEstim,200,2
6,5.818536553151267e-259,Sinusoidal,EpiEstim,200,2
7,0.0,Sinusoidal,EpiEstim,200,2
8,0.0,Sinusoidal,EpiEstim,200,2
9,0.0,Sinusoidal,EpiEstim,200,2
10,0.0,Sinusoidal,EpiEstim,200,2
11,0.0,Sinusoidal,EpiEstim,200,2
12,0.0,Sinusoidal,EpiEstim,200,2
13,0.0,Sinusoidal,EpiEstim,200,2
