k,p,simulation,model,TrueParam,iter
30,2.7401425276829465e-19,Step change,EpiEstim,51,2
1,5.892821332069859e-67,Step change,EpiEstim,34,2
2,0.15446906515392164,Step change,EpiEstim,34,2
3,0.8407697188950269,Step change,EpiEstim,34,2
4,0.0047576108735322645,Step change,EpiEstim,34,2
5,3.605070194334672e-6,Step change,EpiEstim,34,2
6,7.324779387490924e-12,Step change,EpiEstim,34,2
7,6.0458221996106416e-18,Step change,EpiEstim,34,2
8,3.2781928940149186e-25,Step change,EpiEstim,34,2
9,1.7528676778487425e-31,Step change,EpiEstim,34,2
10,3.1039601753398415e-38,Step change,EpiEstim,34,2
11,1.617038291326537e-44,Step change,EpiEstim,34,2
12,6.448971417639448e-51,Step change,EpiEstim,34,2
13,5.502050586894993e-58,Step change,EpiEstim,34,2
14,1.0091893690308498e-63,Step change,EpiEstim,34,2
15,1.4344567855698226e-69,Step change,EpiEstim,34,2
16,8.538129515091785e-75,Step change,EpiEstim,34,2
17,2.122896712836634e-79,Step change,EpiEstim,34,2
18,2.3262622222311e-83,Step change,EpiEstim,34,2
19,2.831080534537283e-88,Step change,EpiEstim,34,2
20,3.268434767159712e-92,Step change,EpiEstim,34,2
21,5.336444721317187e-96,Step change,EpiEstim,34,2
22,1.2060234579549176e-99,Step change,EpiEstim,34,2
23,1.277707288964882e-103,Step change,EpiEstim,34,2
24,4.475394609301761e-107,Step change,EpiEstim,34,2
25,1.4660624871900208e-110,Step change,EpiEstim,34,2
26,2.75038951606133e-114,Step change,EpiEstim,34,2
27,7.462798596678702e-118,Step change,EpiEstim,34,2
28,4.112428740508827e-121,Step change,EpiEstim,34,2
29,3.5933791181671723e-124,Step change,EpiEstim,34,2
30,2.1265463693957955e-127,Step change,EpiEstim,34,2
1,1.490565570161961e-67,Step change,EpiEstim,26,2
2,0.9966354821379919,Step change,EpiEstim,26,2
3,0.0033645178432588187,Step change,EpiEstim,26,2
4,1.874915273569781e-11,Step change,EpiEstim,26,2
5,1.4047532349904265e-18,Step change,EpiEstim,26,2
6,1.9815219822852224e-28,Step change,EpiEstim,26,2
7,2.655239190869116e-38,Step change,EpiEstim,26,2
8,1.7016471768527473e-48,Step change,EpiEstim,26,2
9,6.970131981530084e-58,Step change,EpiEstim,26,2
10,6.990808983638276e-67,Step change,EpiEstim,26,2
11,1.0371143386794448e-75,Step change,EpiEstim,26,2
12,4.3541521268557376e-85,Step change,EpiEstim,26,2
13,3.546108228873798e-94,Step change,EpiEstim,26,2
14,1.7300004928562211e-102,Step change,EpiEstim,26,2
15,6.228156211713722e-111,Step change,EpiEstim,26,2
16,4.4799399584548166e-120,Step change,EpiEstim,26,2
17,9.138437498767939e-130,Step change,EpiEstim,26,2
18,7.619964354862209e-138,Step change,EpiEstim,26,2
19,4.971113499711938e-146,Step change,EpiEstim,26,2
20,1.77991280852182e-154,Step change,EpiEstim,26,2
21,3.933747655383838e-163,Step change,EpiEstim,26,2
22,2.2270581606454245e-172,Step change,EpiEstim,26,2
23,2.1725327224691584e-181,Step change,EpiEstim,26,2
24,2.0782454603370962e-190,Step change,EpiEstim,26,2
25,2.546804575471286e-199,Step change,EpiEstim,26,2
26,6.208133798286346e-207,Step change,EpiEstim,26,2
27,5.011472181921781e-215,Step change,EpiEstim,26,2
28,1.8299838932944968e-222,Step change,EpiEstim,26,2
29,1.906006335031814e-228,Step change,EpiEstim,26,2
30,9.363930909520697e-234,Step change,EpiEstim,26,2
1,9.91560872630249e-56,Step change,EpiEstim,21,2
2,0.9999999999999829,Step change,EpiEstim,21,2
3,1.7076867876099916e-14,Step change,EpiEstim,21,2
4,5.943743367188502e-30,Step change,EpiEstim,21,2
5,1.5399752821683324e-43,Step change,EpiEstim,21,2
6,1.3635986457980708e-60,Step change,EpiEstim,21,2
7,5.724399143853848e-76,Step change,EpiEstim,21,2
8,2.589941346310876e-93,Step change,EpiEstim,21,2
9,6.386808693261325e-111,Step change,EpiEstim,21,2
10,1.1609337944576705e-127,Step change,EpiEstim,21,2
11,2.0887215141863563e-144,Step change,EpiEstim,21,2
12,4.7083019734728675e-160,Step change,EpiEstim,21,2
13,3.4615847477026e-176,Step change,EpiEstim,21,2
14,3.511201419394146e-192,Step change,EpiEstim,21,2
15,1.1926575405807225e-207,Step change,EpiEstim,21,2
16,1.6051115215096653e-223,Step change,EpiEstim,21,2
17,9.599263846169867e-239,Step change,EpiEstim,21,2
18,6.5019267708065645e-254,Step change,EpiEstim,21,2
19,1.1391383741739339e-267,Step change,EpiEstim,21,2
20,2.539503014882752e-281,Step change,EpiEstim,21,2
21,7.040591168488927e-294,Step change,EpiEstim,21,2
22,1.6415870138736443e-306,Step change,EpiEstim,21,2
23,1.80185085e-315,Step change,EpiEstim,21,2
24,2.47e-322,Step change,EpiEstim,21,2
25,0.0,Step change,EpiEstim,21,2
26,0.0,Step change,EpiEstim,21,2
27,0.0,Step change,EpiEstim,21,2
28,0.0,Step change,EpiEstim,21,2
29,0.0,Step change,EpiEstim,21,2
30,0.0,Step change,EpiEstim,21,2
1,1.362967849425609e-63,Step change,EpiEstim,18,2
2,1.0,Step change,EpiEstim,18,2
3,2.5267867495752887e-28,Step change,EpiEstim,18,2
4,4.569386500474379e-51,Step change,EpiEstim,18,2
5,7.307817055911962e-75,Step change,EpiEstim,18,2
6,1.4230001901693363e-99,Step change,EpiEstim,18,2
7,2.873382372959423e-125,Step change,EpiEstim,18,2
8,4.395365978222015e-149,Step change,EpiEstim,18,2
9,9.478492858530363e-173,Step change,EpiEstim,18,2
10,2.101728746105564e-195,Step change,EpiEstim,18,2
11,7.2002624574706674e-217,Step change,EpiEstim,18,2
12,1.0233183652832964e-238,Step change,EpiEstim,18,2
13,1.1438550821612416e-261,Step change,EpiEstim,18,2
14,2.263755774029316e-284,Step change,EpiEstim,18,2
15,1.1153068471290862e-306,Step change,EpiEstim,18,2
16,0.0,Step change,EpiEstim,18,2
17,0.0,Step change,EpiEstim,18,2
18,0.0,Step change,EpiEstim,18,2
19,0.0,Step change,EpiEstim,18,2
20,0.0,Step change,EpiEstim,18,2
21,0.0,Step change,EpiEstim,18,2
22,0.0,Step change,EpiEstim,18,2
23,0.0,Step change,EpiEstim,18,2
24,0.0,Step change,EpiEstim,18,2
25,0.0,Step change,EpiEstim,18,2
26,0.0,Step change,EpiEstim,18,2
27,0.0,Step change,EpiEstim,18,2
28,0.0,Step change,EpiEstim,18,2
29,0.0,Step change,EpiEstim,18,2
30,0.0,Step change,EpiEstim,18,2
1,2.448100304879863e-39,Step change,EpiEstim,15,2
2,1.0,Step change,EpiEstim,15,2
3,8.39679507255862e-39,Step change,EpiEstim,15,2
4,1.6535776039020963e-73,Step change,EpiEstim,15,2
5,1.788896583395526e-104,Step change,EpiEstim,15,2
6,4.39231283141069e-140,Step change,EpiEstim,15,2
7,1.050055825242692e-176,Step change,EpiEstim,15,2
8,4.808324339394593e-211,Step change,EpiEstim,15,2
9,2.6090141054161376e-244,Step change,EpiEstim,15,2
10,5.158160487513357e-278,Step change,EpiEstim,15,2
11,3.41413486307e-313,Step change,EpiEstim,15,2
12,0.0,Step change,EpiEstim,15,2
13,0.0,Step change,EpiEstim,15,2
14,0.0,Step change,EpiEstim,15,2
15,0.0,Step change,EpiEstim,15,2
16,0.0,Step change,EpiEstim,15,2
17,0.0,Step change,EpiEstim,15,2
18,0.0,Step change,EpiEstim,15,2
19,0.0,Step change,EpiEstim,15,2
20,0.0,Step change,EpiEstim,15,2
21,0.0,Step change,EpiEstim,15,2
22,0.0,Step change,EpiEstim,15,2
23,0.0,Step change,EpiEstim,15,2
24,0.0,Step change,EpiEstim,15,2
25,0.0,Step change,EpiEstim,15,2
26,0.0,Step change,EpiEstim,15,2
27,0.0,Step change,EpiEstim,15,2
28,0.0,Step change,EpiEstim,15,2
29,0.0,Step change,EpiEstim,15,2
30,0.0,Step change,EpiEstim,15,2
1,5.4930870697674e-35,Step change,EpiEstim,14,2
2,1.0,Step change,EpiEstim,14,2
3,2.3588061637666573e-31,Step change,EpiEstim,14,2
4,4.511073130160294e-66,Step change,EpiEstim,14,2
5,1.5137811962288883e-103,Step change,EpiEstim,14,2
6,1.4177728281840063e-139,Step change,EpiEstim,14,2
7,4.638245354882211e-177,Step change,EpiEstim,14,2
8,4.2752771654797205e-213,Step change,EpiEstim,14,2
9,8.520960593104094e-246,Step change,EpiEstim,14,2
10,1.7562538500277103e-280,Step change,EpiEstim,14,2
11,5.930998066e-315,Step change,EpiEstim,14,2
12,0.0,Step change,EpiEstim,14,2
13,0.0,Step change,EpiEstim,14,2
14,0.0,Step change,EpiEstim,14,2
15,0.0,Step change,EpiEstim,14,2
16,0.0,Step change,EpiEstim,14,2
17,0.0,Step change,EpiEstim,14,2
18,0.0,Step change,EpiEstim,14,2
19,0.0,Step change,EpiEstim,14,2
20,0.0,Step change,EpiEstim,14,2
21,0.0,Step change,EpiEstim,14,2
22,0.0,Step change,EpiEstim,14,2
23,0.0,Step change,EpiEstim,14,2
24,0.0,Step change,EpiEstim,14,2
25,0.0,Step change,EpiEstim,14,2
26,0.0,Step change,EpiEstim,14,2
27,0.0,Step change,EpiEstim,14,2
28,0.0,Step change,EpiEstim,14,2
29,7.893517929348213e-309,Step change,EpiEstim,14,2
30,6.188788951254026e-295,Step change,EpiEstim,14,2
1,4.832477707285795e-28,Step change,EpiEstim,12,2
2,1.0,Step change,EpiEstim,12,2
3,2.3152219682542712e-43,Step change,EpiEstim,12,2
4,4.394299819126552e-94,Step change,EpiEstim,12,2
5,2.253562219767339e-139,Step change,EpiEstim,12,2
6,1.7447476836653483e-188,Step change,EpiEstim,12,2
7,1.280757094156513e-236,Step change,EpiEstim,12,2
8,1.1499650829195188e-282,Step change,EpiEstim,12,2
9,0.0,Step change,EpiEstim,12,2
10,0.0,Step change,EpiEstim,12,2
11,0.0,Step change,EpiEstim,12,2
12,0.0,Step change,EpiEstim,12,2
13,0.0,Step change,EpiEstim,12,2
14,0.0,Step change,EpiEstim,12,2
15,0.0,Step change,EpiEstim,12,2
16,0.0,Step change,EpiEstim,12,2
17,0.0,Step change,EpiEstim,12,2
18,0.0,Step change,EpiEstim,12,2
19,0.0,Step change,EpiEstim,12,2
20,0.0,Step change,EpiEstim,12,2
21,0.0,Step change,EpiEstim,12,2
22,0.0,Step change,EpiEstim,12,2
23,0.0,Step change,EpiEstim,12,2
24,0.0,Step change,EpiEstim,12,2
25,0.0,Step change,EpiEstim,12,2
26,8.49011590509e-311,Step change,EpiEstim,12,2
