t,swll,eta,simulation
17,-4.318210460108031,0.24,Random walk
18,-4.367802681176907,0.24,Random walk
19,-4.720207148111792,0.24,Random walk
20,-4.61092676961018,0.24,Random walk
21,-4.641685045663941,0.24,Random walk
22,-4.612649481229859,0.24,Random walk
23,-4.613662876848262,0.24,Random walk
24,-4.933522722717807,0.24,Random walk
25,-4.635214258442403,0.24,Random walk
26,-4.7551056396238405,0.24,Random walk
27,-5.097023573351031,0.24,Random walk
28,-4.665505887586458,0.24,Random walk
29,-4.690924407142035,0.24,Random walk
30,-4.729829386410546,0.24,Random walk
31,-5.636335285856125,0.24,Random walk
32,-4.850433476711663,0.24,Random walk
33,-4.775904679273506,0.24,Random walk
34,-4.818462344449041,0.24,Random walk
35,-5.025662186863167,0.24,Random walk
36,-4.736104576416247,0.24,Random walk
37,-4.708210750855587,0.24,Random walk
38,-5.368356253200732,0.24,Random walk
39,-4.9510853925374745,0.24,Random walk
40,-4.961600062618396,0.24,Random walk
41,-4.892100297334523,0.24,Random walk
42,-4.914660077576401,0.24,Random walk
43,-5.20286340424688,0.24,Random walk
44,-5.141120191235381,0.24,Random walk
45,-5.2105305935189445,0.24,Random walk
46,-5.2403715811649585,0.24,Random walk
47,-5.309963310873069,0.24,Random walk
48,-5.274178865936377,0.24,Random walk
49,-5.459688276318068,0.24,Random walk
50,-5.37757411724852,0.24,Random walk
51,-5.512630023306489,0.24,Random walk
52,-5.459227041727571,0.24,Random walk
53,-5.3574703191291935,0.24,Random walk
54,-5.261507900016019,0.24,Random walk
55,-5.287826789223835,0.24,Random walk
56,-5.403401094979246,0.24,Random walk
57,-5.373992661214885,0.24,Random walk
58,-5.523217864854073,0.24,Random walk
59,-5.579093652975395,0.24,Random walk
60,-5.528681049301182,0.24,Random walk
61,-5.524109084667249,0.24,Random walk
62,-5.433400409713595,0.24,Random walk
63,-5.404272437078331,0.24,Random walk
64,-5.881169597535816,0.24,Random walk
65,-5.638669333060661,0.24,Random walk
66,-5.452556424587899,0.24,Random walk
67,-5.280784518867617,0.24,Random walk
68,-5.313961953387268,0.24,Random walk
69,-5.349018628321652,0.24,Random walk
70,-5.107106777793223,0.24,Random walk
71,-5.148082601709971,0.24,Random walk
72,-5.030327358561764,0.24,Random walk
73,-4.881880438532313,0.24,Random walk
74,-4.737582601641663,0.24,Random walk
75,-4.653669887044805,0.24,Random walk
76,-4.595219943474161,0.24,Random walk
77,-5.1805696195741096,0.24,Random walk
78,-4.929597890830825,0.24,Random walk
79,-4.512961160991885,0.24,Random walk
80,-5.14932284304947,0.24,Random walk
81,-4.611845131329138,0.24,Random walk
82,-4.382977340972632,0.24,Random walk
83,-4.5585982996431875,0.24,Random walk
84,-4.093791041241227,0.24,Random walk
85,-3.8567689864337313,0.24,Random walk
86,-3.9152989765581148,0.24,Random walk
87,-5.41720933811925,0.24,Random walk
88,-3.7907401678959327,0.24,Random walk
89,-3.722536193631521,0.24,Random walk
90,-3.6015225251174217,0.24,Random walk
91,-3.5471275479785693,0.24,Random walk
92,-3.431531499706228,0.24,Random walk
93,-3.349951867503814,0.24,Random walk
94,-3.727336275779684,0.24,Random walk
95,-3.2557029669035753,0.24,Random walk
96,-3.426979988735569,0.24,Random walk
97,-3.2058167981989585,0.24,Random walk
98,-3.1521679508289955,0.24,Random walk
99,-3.8269139273298234,0.24,Random walk
100,-3.305018838216682,0.24,Random walk
1,0.0,0.25,Random walk
2,-6.872911871193789,0.25,Random walk
3,-4.234306795845633,0.25,Random walk
4,-4.238912393455577,0.25,Random walk
5,-4.336536178146658,0.25,Random walk
6,-4.351552023220834,0.25,Random walk
7,-4.237836647576801,0.25,Random walk
8,-4.246966651224138,0.25,Random walk
9,-4.347223551834846,0.25,Random walk
10,-4.391565590582839,0.25,Random walk
11,-4.241373803961783,0.25,Random walk
12,-4.216571111766223,0.25,Random walk
13,-4.304633323665184,0.25,Random walk
14,-4.261316647837544,0.25,Random walk
15,-4.294454399799491,0.25,Random walk
16,-4.739410196621677,0.25,Random walk
17,-4.350881984105719,0.25,Random walk
18,-4.397569286224781,0.25,Random walk
19,-4.731134597029196,0.25,Random walk
20,-4.639267967618177,0.25,Random walk
21,-4.666240385982444,0.25,Random walk
22,-4.644655374269681,0.25,Random walk
23,-4.646174109274486,0.25,Random walk
24,-4.948927455052005,0.25,Random walk
25,-4.667683637882945,0.25,Random walk
26,-4.782861317794552,0.25,Random walk
27,-5.108792935520276,0.25,Random walk
28,-4.698965901108071,0.25,Random walk
29,-4.724469923826922,0.25,Random walk
30,-4.75988463120507,0.25,Random walk
31,-5.610783338938631,0.25,Random walk
32,-4.884523004755703,0.25,Random walk
33,-4.809918577551168,0.25,Random walk
34,-4.85029064821446,0.25,Random walk
35,-5.04075886937381,0.25,Random walk
36,-4.767083572750531,0.25,Random walk
37,-4.742624775444178,0.25,Random walk
38,-5.3600263656332325,0.25,Random walk
39,-4.981473034036698,0.25,Random walk
40,-4.986126972122018,0.25,Random walk
41,-4.925048813547638,0.25,Random walk
42,-4.949763008725712,0.25,Random walk
43,-5.220922043557412,0.25,Random walk
44,-5.169726641976883,0.25,Random walk
45,-5.242805684847517,0.25,Random walk
46,-5.270596953619158,0.25,Random walk
47,-5.335985335076944,0.25,Random walk
48,-5.301484073908267,0.25,Random walk
49,-5.475375939359223,0.25,Random walk
50,-5.40662854379814,0.25,Random walk
51,-5.529670069693728,0.25,Random walk
52,-5.4876350745416485,0.25,Random walk
53,-5.388142122025253,0.25,Random walk
54,-5.2979450027069115,0.25,Random walk
55,-5.324095418806091,0.25,Random walk
56,-5.433264836147968,0.25,Random walk
57,-5.4106879992049395,0.25,Random walk
58,-5.5515614061364955,0.25,Random walk
59,-5.610210798900321,0.25,Random walk
60,-5.560822358323659,0.25,Random walk
61,-5.555562978154376,0.25,Random walk
62,-5.469428714558226,0.25,Random walk
63,-5.441599321502881,0.25,Random walk
64,-5.8830673516459955,0.25,Random walk
65,-5.650295440864219,0.25,Random walk
66,-5.482970104705334,0.25,Random walk
67,-5.314721584213307,0.25,Random walk
68,-5.341290052343284,0.25,Random walk
69,-5.376825540451957,0.25,Random walk
70,-5.142750770752202,0.25,Random walk
71,-5.179523775793282,0.25,Random walk
72,-5.061138160813834,0.25,Random walk
73,-4.914435768129639,0.25,Random walk
74,-4.7718498273052035,0.25,Random walk
75,-4.686373491105165,0.25,Random walk
76,-4.623156079369635,0.25,Random walk
77,-5.167856258881181,0.25,Random walk
78,-4.945017946720379,0.25,Random walk
79,-4.53812113990348,0.25,Random walk
80,-5.131313024247837,0.25,Random walk
81,-4.640965848044978,0.25,Random walk
82,-4.412003191845911,0.25,Random walk
83,-4.567360392174981,0.25,Random walk
84,-4.1168100674217705,0.25,Random walk
85,-3.8855361793074463,0.25,Random walk
86,-3.9326915107957996,0.25,Random walk
87,-5.357138525810057,0.25,Random walk
88,-3.8232415267449142,0.25,Random walk
89,-3.7433992282433164,0.25,Random walk
90,-3.6271577746247736,0.25,Random walk
91,-3.5734847328019685,0.25,Random walk
92,-3.455582822698855,0.25,Random walk
93,-3.3750211076238457,0.25,Random walk
94,-3.7320795553323682,0.25,Random walk
95,-3.2828181480489738,0.25,Random walk
96,-3.4414427618216417,0.25,Random walk
97,-3.2311942174491164,0.25,Random walk
98,-3.176200975075909,0.25,Random walk
99,-3.8223756978535124,0.25,Random walk
100,-3.321140047231666,0.25,Random walk
1,0.0,0.26,Random walk
2,-6.872712697355224,0.26,Random walk
3,-4.262573913184945,0.26,Random walk
4,-4.268218305818225,0.26,Random walk
5,-4.3616590006147975,0.26,Random walk
6,-4.373181668911118,0.26,Random walk
7,-4.2687384857799,0.26,Random walk
8,-4.27502042172925,0.26,Random walk
9,-4.370686557164328,0.26,Random walk
10,-4.417747194904647,0.26,Random walk
11,-4.270675236818108,0.26,Random walk
12,-4.246922501508281,0.26,Random walk
13,-4.330061437297731,0.26,Random walk
14,-4.291885635233625,0.26,Random walk
15,-4.3235892732845675,0.26,Random walk
16,-4.743666248191825,0.26,Random walk
17,-4.382744747001428,0.26,Random walk
18,-4.426724491421755,0.26,Random walk
19,-4.743097593880937,0.26,Random walk
20,-4.666868072869775,0.26,Random walk
21,-4.6904310399374625,0.26,Random walk
22,-4.675826819093182,0.26,Random walk
23,-4.677836641560829,0.26,Random walk
24,-4.965082192597184,0.26,Random walk
25,-4.699230999888945,0.26,Random walk
26,-4.810213119081866,0.26,Random walk
27,-5.121496679366588,0.26,Random walk
28,-4.7314953631693495,0.26,Random walk
29,-4.757123189292438,0.26,Random walk
30,-4.789398044287138,0.26,Random walk
31,-5.588962723251561,0.26,Random walk
32,-4.9174431736944335,0.26,Random walk
33,-4.8429869707253985,0.26,Random walk
34,-4.881407993780968,0.26,Random walk
35,-5.056872950515303,0.26,Random walk
36,-4.797158496051422,0.26,Random walk
37,-4.77604877417031,0.26,Random walk
38,-5.35455178584446,0.26,Random walk
39,-5.010965013503613,0.26,Random walk
40,-5.010403063960994,0.26,Random walk
41,-4.9572281102352935,0.26,Random walk
42,-4.983824712663749,0.26,Random walk
43,-5.2395054698206,0.26,Random walk
44,-5.198087869228212,0.26,Random walk
45,-5.274228275385249,0.26,Random walk
46,-5.30033949150547,0.26,Random walk
47,-5.3619995796602105,0.26,Random walk
48,-5.328676989158574,0.26,Random walk
49,-5.491646517705273,0.26,Random walk
50,-5.435105432851462,0.26,Random walk
51,-5.547232266295603,0.26,Random walk
52,-5.515540105622437,0.26,Random walk
53,-5.418322557893824,0.26,Random walk
54,-5.333197802361411,0.26,Random walk
55,-5.359216087873163,0.26,Random walk
56,-5.462636144075403,0.26,Random walk
57,-5.446221369616626,0.26,Random walk
58,-5.579578093609544,0.26,Random walk
59,-5.640637132403105,0.26,Random walk
60,-5.592313267372752,0.26,Random walk
61,-5.586436500253409,0.26,Random walk
62,-5.504363149744873,0.26,Random walk
63,-5.477663633138309,0.26,Random walk
64,-5.8874216967734725,0.26,Random walk
65,-5.662752901686574,0.26,Random walk
66,-5.512682207970617,0.26,Random walk
67,-5.347724660201488,0.26,Random walk
68,-5.368169992057232,0.26,Random walk
69,-5.404203478394267,0.26,Random walk
70,-5.177139454357121,0.26,Random walk
71,-5.210187647706607,0.26,Random walk
72,-5.091233969730728,0.26,Random walk
73,-4.945987188085183,0.26,Random walk
74,-4.804814989772552,0.26,Random walk
75,-4.717881141371337,0.26,Random walk
76,-4.65014730094712,0.26,Random walk
77,-5.158287300928918,0.26,Random walk
78,-4.960676606721632,0.26,Random walk
79,-4.562476824148485,0.26,Random walk
80,-5.116939702210697,0.26,Random walk
81,-4.669142245613208,0.26,Random walk
82,-4.440480019439384,0.26,Random walk
83,-4.577566117383143,0.26,Random walk
84,-4.139700130565368,0.26,Random walk
85,-3.9132064289710415,0.26,Random walk
86,-3.9501117813742472,0.26,Random walk
87,-5.300526107578685,0.26,Random walk
88,-3.8544194323047907,0.26,Random walk
89,-3.7636585198326546,0.26,Random walk
90,-3.6522173867386143,0.26,Random walk
91,-3.599095773106048,0.26,Random walk
92,-3.4788201308581814,0.26,Random walk
93,-3.3994630178133285,0.26,Random walk
94,-3.736872585632905,0.26,Random walk
95,-3.3093091927144873,0.26,Random walk
96,-3.4559457337337367,0.26,Random walk
97,-3.2560748255177216,0.26,Random walk
98,-3.1997104892980923,0.26,Random walk
99,-3.8188165013655704,0.26,Random walk
100,-3.33782240399695,0.26,Random walk
1,0.0,0.27,Random walk
2,-6.872443588549173,0.27,Random walk
3,-4.290284079579918,0.27,Random walk
4,-4.296890008874343,0.27,Random walk
5,-4.386443914015228,0.27,Random walk
6,-4.394468025802731,0.27,Random walk
7,-4.29884537032612,0.27,Random walk
8,-4.302464615957517,0.27,Random walk
9,-4.394021789270718,0.27,Random walk
10,-4.443423477859281,0.27,Random walk
11,-4.299372271100513,0.27,Random walk
12,-4.276532741991421,0.27,Random walk
13,-4.355088847947419,0.27,Random walk
14,-4.321740359054975,0.27,Random walk
15,-4.352082914931308,0.27,Random walk
16,-4.748924707269391,0.27,Random walk
17,-4.41381310125021,0.27,Random walk
18,-4.4552699581311215,0.27,Random walk
19,-4.755920495053609,0.27,Random walk
20,-4.693782231680299,0.27,Random walk
21,-4.714258143090222,0.27,Random walk
22,-4.706199052080339,0.27,Random walk
23,-4.708683438586755,0.27,Random walk
24,-4.981834835095187,0.27,Random walk
25,-4.729901703762784,0.27,Random walk
26,-4.837144366649517,0.27,Random walk
27,-5.134983511435163,0.27,Random walk
28,-4.763124638946352,0.27,Random walk
29,-4.788906616397265,0.27,Random walk
30,-4.818345561018178,0.27,Random walk
31,-5.570469893562802,0.27,Random walk
