t,swll,k,simulation
90,-19.44420426671917,20,Step-change
91,-9.588265935463824,20,Step-change
92,-9.738778068433362,20,Step-change
93,-6.40757111175742,20,Step-change
94,-7.176190438317178,20,Step-change
95,-7.2054121023713265,20,Step-change
96,-4.540311991554574,20,Step-change
97,-4.486543443013943,20,Step-change
98,-7.8336620448969825,20,Step-change
99,-3.627202257329486,20,Step-change
100,-4.1609651504838325,20,Step-change
1,0.0,21,Step-change
2,0.0,21,Step-change
3,-24.53871319416467,21,Step-change
4,-16.945955093069472,21,Step-change
5,-10.481233086589725,21,Step-change
6,-7.843145422593267,21,Step-change
7,-6.804136415456753,21,Step-change
8,-3.464270218348531,21,Step-change
9,-5.445820269314737,21,Step-change
10,-3.1326616103146137,21,Step-change
11,-4.75497752207869,21,Step-change
12,-3.481906107851785,21,Step-change
13,-4.761811446885076,21,Step-change
14,-6.583716268272383,21,Step-change
15,-3.5934508685707556,21,Step-change
16,-3.9351179662491518,21,Step-change
17,-3.8553910925885475,21,Step-change
18,-3.795372165265263,21,Step-change
19,-3.3205139981858167,21,Step-change
20,-4.747537217261268,21,Step-change
21,-4.367178116596591,21,Step-change
22,-2.6537950781018367,21,Step-change
23,-2.870021224851854,21,Step-change
24,-2.704637895292592,21,Step-change
25,-2.758993664357533,21,Step-change
26,-2.8438835403443363,21,Step-change
27,-3.6372877659893987,21,Step-change
28,-4.3355615183586025,21,Step-change
29,-18.840587412792303,21,Step-change
30,-9.716763856493912,21,Step-change
31,-7.881260070835793,21,Step-change
32,-10.706766411303562,21,Step-change
33,-9.793633464889098,21,Step-change
34,-8.179380043779588,21,Step-change
35,-7.050929941048224,21,Step-change
36,-4.501339213174248,21,Step-change
37,-13.38454257379098,21,Step-change
38,-5.9300563723311654,21,Step-change
39,-6.253750984544922,21,Step-change
40,-8.053770263856165,21,Step-change
41,-6.035405290506105,21,Step-change
42,-3.243782737315371,21,Step-change
43,-3.7458606363166496,21,Step-change
44,-3.197086961260595,21,Step-change
