k,p,simulation,model,TrueParam,iter
22,0.0,Sinusoidal,EpiEstim,25,2
23,0.0,Sinusoidal,EpiEstim,25,2
24,0.0,Sinusoidal,EpiEstim,25,2
25,8.7624516047467e-311,Sinusoidal,EpiEstim,25,2
26,6.99882240271213e-291,Sinusoidal,EpiEstim,25,2
27,5.586260281055291e-274,Sinusoidal,EpiEstim,25,2
28,4.529309496802485e-260,Sinusoidal,EpiEstim,25,2
29,1.9175635525292357e-249,Sinusoidal,EpiEstim,25,2
30,6.123500648324673e-243,Sinusoidal,EpiEstim,25,2
1,2.0276350083122364e-84,Sinusoidal,EpiEstim,30,2
2,0.9999082000719173,Sinusoidal,EpiEstim,30,2
3,9.179992808274335e-5,Sinusoidal,EpiEstim,30,2
4,2.139676186671687e-22,Sinusoidal,EpiEstim,30,2
5,3.956248149841202e-47,Sinusoidal,EpiEstim,30,2
6,1.5966929937214893e-76,Sinusoidal,EpiEstim,30,2
7,4.86179042534554e-109,Sinusoidal,EpiEstim,30,2
8,3.00646986665718e-145,Sinusoidal,EpiEstim,30,2
9,5.750008879585046e-182,Sinusoidal,EpiEstim,30,2
10,1.882223968860776e-220,Sinusoidal,EpiEstim,30,2
11,4.229601039089254e-259,Sinusoidal,EpiEstim,30,2
12,3.6892536238065236e-295,Sinusoidal,EpiEstim,30,2
13,0.0,Sinusoidal,EpiEstim,30,2
14,0.0,Sinusoidal,EpiEstim,30,2
15,0.0,Sinusoidal,EpiEstim,30,2
16,0.0,Sinusoidal,EpiEstim,30,2
17,0.0,Sinusoidal,EpiEstim,30,2
18,0.0,Sinusoidal,EpiEstim,30,2
19,0.0,Sinusoidal,EpiEstim,30,2
20,0.0,Sinusoidal,EpiEstim,30,2
21,0.0,Sinusoidal,EpiEstim,30,2
22,0.0,Sinusoidal,EpiEstim,30,2
23,0.0,Sinusoidal,EpiEstim,30,2
24,0.0,Sinusoidal,EpiEstim,30,2
25,0.0,Sinusoidal,EpiEstim,30,2
26,0.0,Sinusoidal,EpiEstim,30,2
