eta,p,simulation,model
0.299,5.660900664239184e-5,Random walk,EpiFilter
0.30000000000000004,5.179827837391653e-5,Random walk,EpiFilter
0.301,4.7380413474518706e-5,Random walk,EpiFilter
0.302,4.332503562315317e-5,Random walk,EpiFilter
0.303,3.9603937801464685e-5,Random walk,EpiFilter
0.304,3.61909460298933e-5,Random walk,EpiFilter
0.30500000000000005,3.306178971620241e-5,Random walk,EpiFilter
0.306,3.019397850797645e-5,Random walk,EpiFilter
0.307,2.7566685514602057e-5,Random walk,EpiFilter
0.308,2.516063674257944e-5,Random walk,EpiFilter
0.309,2.295800657028116e-5,Random walk,EpiFilter
0.31,2.0942319073435852e-5,Random walk,EpiFilter
0.311,1.9098355001846773e-5,Random walk,EpiFilter
0.312,1.741206419893808e-5,Random walk,EpiFilter
0.313,1.587048324997623e-5,Random walk,EpiFilter
0.314,1.4461658140919705e-5,Random walk,EpiFilter
0.315,1.3174571707994706e-5,Random walk,EpiFilter
0.316,1.1999075658086458e-5,Random walk,EpiFilter
0.317,1.092582694108282e-5,Random walk,EpiFilter
0.318,9.9462282582025e-6,Random walk,EpiFilter
0.319,9.05237249372432e-6,Random walk,EpiFilter
0.32,8.236990862280786e-6,Random walk,EpiFilter
0.321,7.493404569111126e-6,Random walk,EpiFilter
0.32199999999999995,6.815479786532499e-6,Random walk,EpiFilter
0.323,6.197585756457487e-6,Random walk,EpiFilter
0.324,5.6345558353540015e-6,Random walk,EpiFilter
0.325,5.121651305241657e-6,Random walk,EpiFilter
0.326,4.654527781477122e-6,Random walk,EpiFilter
0.32699999999999996,4.2292040554725166e-6,Random walk,EpiFilter
0.328,3.842033217806823e-6,Random walk,EpiFilter
0.32899999999999996,3.4896759146523017e-6,Random walk,EpiFilter
0.33,3.1690755976518602e-6,Random walk,EpiFilter
0.331,2.8774356346476563e-6,Random walk,EpiFilter
0.332,2.612198155702675e-6,Random walk,EpiFilter
0.333,2.3710245157234825e-6,Random walk,EpiFilter
0.33399999999999996,2.1517772617077175e-6,Random walk,EpiFilter
0.335,1.9525034991095294e-6,Random walk,EpiFilter
0.33599999999999997,1.771419558071121e-6,Random walk,EpiFilter
0.337,1.6068968662724531e-6,Random walk,EpiFilter
0.338,1.4574489409198743e-6,Random walk,EpiFilter
0.33899999999999997,1.32171941790948e-6,Random walk,EpiFilter
0.34,1.1984710414602185e-6,Random walk,EpiFilter
0.34099999999999997,1.0865755425120466e-6,Random walk,EpiFilter
0.342,9.850043389490832e-7,Random walk,EpiFilter
0.343,8.928199952108162e-7,Random walk,EpiFilter
0.344,8.091683831151882e-7,Random walk,EpiFilter
0.34500000000000003,7.332714897528825e-7,Random walk,EpiFilter
0.346,6.644208220995766e-7,Random walk,EpiFilter
0.34700000000000003,6.019713615782659e-7,Random walk,EpiFilter
0.348,5.453360251483305e-7,Random walk,EpiFilter
0.349,4.939805926676285e-7,Random walk,EpiFilter
0.35000000000000003,4.474190632116995e-7,Random walk,EpiFilter
0.351,4.052094058147576e-7,Random walk,EpiFilter
0.35200000000000004,3.6694967267109453e-7,Random walk,EpiFilter
0.353,3.3227444525767465e-7,Random walk,EpiFilter
0.354,3.0085158608457315e-7,Random walk,EpiFilter
0.355,2.723792708821523e-7,Random walk,EpiFilter
0.356,2.4658327798382597e-7,Random walk,EpiFilter
0.35700000000000004,2.2321451347805736e-7,Random walk,EpiFilter
0.358,2.02046752390508e-7,Random walk,EpiFilter
0.359,1.8287457772226166e-7,Random walk,EpiFilter
0.36,1.6551150061871878e-7,Random walk,EpiFilter
0.361,1.4978824628901835e-7,Random walk,EpiFilter
0.362,1.3555119153973363e-7,Random walk,EpiFilter
