k,p,simulation,model,TrueParam,iter
20,0.0,Random walk,EpiEstim,0.15,2
21,0.0,Random walk,EpiEstim,0.15,2
22,0.0,Random walk,EpiEstim,0.15,2
23,0.0,Random walk,EpiEstim,0.15,2
24,0.0,Random walk,EpiEstim,0.15,2
25,0.0,Random walk,EpiEstim,0.15,2
26,0.0,Random walk,EpiEstim,0.15,2
27,0.0,Random walk,EpiEstim,0.15,2
28,0.0,Random walk,EpiEstim,0.15,2
29,0.0,Random walk,EpiEstim,0.15,2
30,0.0,Random walk,EpiEstim,0.15,2
1,1.0,Random walk,EpiEstim,0.2,2
2,6.142664211733948e-66,Random walk,EpiEstim,0.2,2
3,3.595487619434098e-191,Random walk,EpiEstim,0.2,2
4,0.0,Random walk,EpiEstim,0.2,2
5,0.0,Random walk,EpiEstim,0.2,2
6,0.0,Random walk,EpiEstim,0.2,2
7,0.0,Random walk,EpiEstim,0.2,2
8,0.0,Random walk,EpiEstim,0.2,2
9,0.0,Random walk,EpiEstim,0.2,2
10,0.0,Random walk,EpiEstim,0.2,2
11,0.0,Random walk,EpiEstim,0.2,2
12,0.0,Random walk,EpiEstim,0.2,2
13,0.0,Random walk,EpiEstim,0.2,2
14,0.0,Random walk,EpiEstim,0.2,2
15,0.0,Random walk,EpiEstim,0.2,2
16,0.0,Random walk,EpiEstim,0.2,2
17,0.0,Random walk,EpiEstim,0.2,2
18,0.0,Random walk,EpiEstim,0.2,2
19,0.0,Random walk,EpiEstim,0.2,2
20,0.0,Random walk,EpiEstim,0.2,2
21,0.0,Random walk,EpiEstim,0.2,2
22,0.0,Random walk,EpiEstim,0.2,2
23,0.0,Random walk,EpiEstim,0.2,2
24,0.0,Random walk,EpiEstim,0.2,2
25,0.0,Random walk,EpiEstim,0.2,2
26,0.0,Random walk,EpiEstim,0.2,2
27,0.0,Random walk,EpiEstim,0.2,2
28,0.0,Random walk,EpiEstim,0.2,2
29,0.0,Random walk,EpiEstim,0.2,2
30,0.0,Random walk,EpiEstim,0.2,2
1,1.0,Random walk,EpiEstim,0.25,2
2,4.875828872720064e-89,Random walk,EpiEstim,0.25,2
3,1.9919283332835398e-227,Random walk,EpiEstim,0.25,2
4,0.0,Random walk,EpiEstim,0.25,2
5,0.0,Random walk,EpiEstim,0.25,2
6,0.0,Random walk,EpiEstim,0.25,2
7,0.0,Random walk,EpiEstim,0.25,2
8,0.0,Random walk,EpiEstim,0.25,2
9,0.0,Random walk,EpiEstim,0.25,2
10,0.0,Random walk,EpiEstim,0.25,2
